band,correction,dswe,sat_corr,sat_to,method,intercept,slope,B1,B2,min_in_val,max_in_val
med_Blue,Roy,DSWE1,LS5,LS7,lm,0.005711463345222499,0.7893049059384584,NA,NA,-0.009,0.199
med_Blue,Roy,DSWE1,LS5,LS7,deming,-0.0011729512575271044,1.006264512533047,NA,NA,-0.009,0.199
med_Green,Roy,DSWE1,LS5,LS7,lm,0.001364198789392777,0.8575792778696346,NA,NA,-0.004,0.2
med_Green,Roy,DSWE1,LS5,LS7,deming,-0.003649302651649982,0.9758691793948757,NA,NA,-0.004,0.2
med_Red,Roy,DSWE1,LS5,LS7,lm,-3.4743540476952464e-4,0.8989087124863502,NA,NA,-0.008,0.2
med_Red,Roy,DSWE1,LS5,LS7,deming,-0.004600252058681057,1.0167141516186127,NA,NA,-0.008,0.2
med_Nir,Roy,DSWE1,LS5,LS7,lm,0.006079510009164549,0.7325013661051105,NA,NA,-0.006,0.2
med_Nir,Roy,DSWE1,LS5,LS7,deming,-0.001966645630844281,0.9846214076578554,NA,NA,-0.006,0.2
med_Swir1,Roy,DSWE1,LS5,LS7,lm,0.006563556691851777,0.42076076317773214,NA,NA,-0.008,0.098
med_Swir1,Roy,DSWE1,LS5,LS7,deming,0.0014711695473379513,0.7353526175503851,NA,NA,-0.008,0.098
med_Swir2,Roy,DSWE1,LS5,LS7,lm,0.004621514596483294,0.37820617692029757,NA,NA,-0.007,0.084
med_Swir2,Roy,DSWE1,LS5,LS7,deming,9.238438555337647e-4,0.7354995499996135,NA,NA,-0.007,0.084
med_SurfaceTemp,Roy,DSWE1,LS5,LS7,lm,29.688587865199985,0.8951537535639079,NA,NA,273.15,313.02
med_SurfaceTemp,Roy,DSWE1,LS5,LS7,deming,7.14788504629077,0.9733526072164652,NA,NA,273.15,313.02
med_Blue,Roy,DSWE1,LS8,LS7,lm,0.02128827908322219,0.7976389596546738,NA,NA,-0.009,0.182
med_Blue,Roy,DSWE1,LS8,LS7,deming,0.01291588148093975,1.3022266824403892,NA,NA,-0.009,0.182
med_Green,Roy,DSWE1,LS8,LS7,lm,0.015805751376396584,0.8074517036610092,NA,NA,-0,0.199
med_Green,Roy,DSWE1,LS8,LS7,deming,0.009293073108880869,1.0092870982401705,NA,NA,-0,0.199
